title,registration_number,objective
EUROPEAN CANNABIS INITIATIVE,2024/000003,"We call on the European Commission to:
                 





                  Convene a Transeuropean Citizens' Assembly about cannabis policies in a larger perspective on: a common scale of sanctions throughout the EU; the consistency of the Member States’ policies; EU citizens’ opportunity to discuss among themselves and with the Institutions on this sensitive subject.
                 





                  Foster access to medical cannabis based on scientific evidence and the experiences of patients, and to allow patients the transportation of cannabis and any of its derivatives prescribed for therapeutic uses throughout the EU in order to ensure the full enjoyment of the right to health.
                 





                  Allocate the necessary resources for researching cannabis – including in herbal and traditional medicine – for its therapeutic uses and to share them internationally."
"My Voice, My Choice: For Safe And Accessible Abortion",2024/000004,"The “My Voice, My Choice” campaign offers the people of Europe the chance to make women's lives freer, safer, and better; wherever they live in our union, whatever conditions they may find themselves in.
               


                 The lack of access to abortion in many parts of Europe not only puts women at risk of physical harm but also puts undue economic and mental stress on women and families, often on the margins of society that can afford it the least.
                


                It has been well documented that treating reproductive care as a luxury does not reduce abortions, it simply drives women to seek unsafe abortions.
               


                 To change this we are asking the European Commission to - in the spirit of solidarity - submit a proposal for financial support to Member States that would be able to perform safe termination of pregnancies for anyone in Europe who still lacks access to safe and legal abortion.
                


                Countless lives and livelihoods are ended, disrupted, and lost because of lack of access to safe "
Save the Planet by shifting taxation from labour to greenhouse gas emissions,2024/000005,"With this initiative, we ask the Commission:
               




                 to strengthen the Fit for 55 Package, with a view to achieving carbon neutrality by 2045.
                



                 to strengthen the EU carbon pricing system (ETS) by setting a faster phase-out of free allowances (2030) and allowing an uncapped carbon price also of heating or transport sectors as necessary to achieve emissions reductions goals.
                



                 To redistribute a substantial part of carbon pricing revenues to low-income households, shifting taxation from labour to the consumption of non-renewable resources, strengthening the EU’s social climate fund.
                



                 to globally promote the establishment of a “Climate Club” where all participant countries adopt robust carbon pricing, with due consideration of redistributing carbon pricing revenues to low-income households."
Air-Quotas,2024/000006,"We, citizens of Europe, who have become aware of the climate danger at the heart of the sixth extinction that is under way, call on the European Commission to set up a climate assembly leading to a citizens’ carbon quota mechanism in each country that will encourage businesses to decarbonise through consumer demand.
               

                The mechanism should cover all purchases of goods and services. It starts symbolically with a critical means of transport, air transport. The Air Quotas information campaign makes it possible to understand the trade mechanism between carbon deficits and surpluses based on a fair distribution that decreases from year to year in line with the Paris Agreement and the European Union’s announcement of a 55% reduction.
               

                The three phases of the climate assembly are a survey, formulation by citizens selected by lot, together with experts and elected representatives, and finally national referendums for implementation in each country. The initial focus on air transport, leading to a media campaign, could be used as a"
Stop Destroying Videogames,2024/000007,"This initiative calls to require publishers that sell or license videogames to consumers in the European Union (or related features and assets sold for videogames they operate) to leave said videogames in a functional (playable) state.
               

                Specifically, the initiative seeks to prevent the remote disabling of videogames by the publishers, before providing reasonable means to continue functioning of said videogames without the involvement from the side of the publisher.
               

                The initiative does not seek to acquire ownership of said videogames, associated intellectual rights or monetization rights, neither does it expect the publisher to provide resources for the said videogame once they discontinue it while leaving it in a reasonably functional (playable) state."
Stop Cruelty Stop Slaughter,2024/000008,"Factory farming and slaughterhouses are
                
                 at odds with the 1978 Universal Declaration of Animal Rights and the Treaty of Lisbon, which grant all animals the same rights to existence and define them as sentient beings.
                



                 Factory farming and slaughterhouses pose a constant threat to public health
                
                in the form of the spread of ever new pandemics and health and hygiene problems (salmonella, avian influenza, etc.).
               

                WE THEREFORE CALL FOR:
               

                1) incentives for the production of plant proteins, including plant-based milk and egg substitutes, and for the production of cultivated meat;
               

                2) plans to gradually reduce the number of farm animals at a rate of 50% of the number of farm animals each year, and to progressively close all animal farms.
               

                This should begin with the curbing of factory farms, followed by free-range farms and slaughterhouses, these being places of anima"
STOP FAKE FOOD: ORIGIN ON LABEL,2024/000009,"We call for European consumers to have access to transparent information about the food they buy and for their expectations in terms of high quality and sustainability standards to be met.
               

                We also call for the origin of all products entering the common market to be clearly and explicitly indicated and for those products to meet the environmental, health and labour standards applicable in the internal market, in order to protect consumer health and the planet."
ECI for a Water-Smart and Resilient Europe,2024/000010,"To advocate for a strategic and holistic action plan for water in Europe, and the development and implementation of dual, complementary policies in all EU policy areas, as called for in the Declaration for an EU Blue Deal.
                



                 To urge the European Commission to prioritise water as a strategic standalone priority within the EU framework and elevate water resilience to the same priority level as decarbonisation.
                



                 To significantly reduce the water footprint of all segments of society and stress a paradigm shift at the European level to safeguard clean water for individuals, businesses, farmers and ecosystems.
                



                 To accelerate a shift towards water-efficient, circular industry and agriculture, to secure competitiveness by promoting innovative solutions such as digital tools, resource recovery, hybrid green-grey infrastructure, nature-based solutions, and inclusive governance tools.
                



                 To ensure the availability of the right skills for a water-smart econ"
PsychedeliCare,2024/000011,"We call on the European Commission to foster equitable, timely, affordable, safe, and legal access to innovative psychedelic-assisted therapies.
                








                 The Commission should support the establishment of an expert consensus on standards of psychedelic care, with psychological support, therapist training, ethical guidelines and safety measures, to ensure the safe and effective rollout of psychedelic therapies. The Commission should back capacity building efforts for multidisciplinary training programs on mental health, specifically designed for psychedelic therapy training for healthcare providers.
                



                 The Commission should boost EU-funded research into the therapeutic applications of psychedelics to strengthen the evidence of their safety and efficacy. It should support the development of research networks focusing on innovative therapies.
                



                 The Commission should adopt common positions within UN fora to advocate for pragmatic, progressive transnational regulations concerning psychede"
HouseEurope! Power to Renovation,2025/000001,"HouseEurope! wants to create incentives that make the renovation and transformation of existing buildings the new norm and a common path. This will boost the renovation market and give new value to what is already there. The goal is to preserve homes and communities, ensure a fairer and more local building industry, save energy and resources, and preserve our memories and stories. Because the demolition of existing buildings is as outdated as food waste, animal testing, fast fashion and single-use plastics.
               

                In order to achieve these objectives, we demand a right to reuse for existing buildings based on three key pillars: (I) tax reductions for renovation works and reused materials, (II) fair rules to assess both potentials and risks of existing buildings, and (III) new values for the embedded CO2 in existing structures."
"Food is a Human Right for All! Guaranteeing healthy, just and sustainable food systems",2025/000002,"At least one fifth of the European population has no access to adequate food. Industrial food systems aggravate food insecurity, climate change, pollution, biodiversity loss, labour exploitation and animal suffering. The EU must guarantee the right to food systemically and promote healthy, just, humane and sustainable food systems for present and future generations. Achieving these goals requires proposing or amending EU legal acts in these areas:
               

                • Fair food systems and democratic governance
               

                • Support to national social protection initiatives • Recognizing that agricultural products and foodstuff are not ordinary commodities
               

                • Support to peasant agroecology and territorial food systems
               

                • Combating agricultural land’s concentration
               

                • Support to peasant seed systems
               

                • Strict regulation of GMOs, including those obtained with new genomic techniques
               

                • Sustainab"
"Save your right, save your flight!",2025/000003,"The Council is trying to push through devastating changes to passenger rights that will water down protections travellers have relied on for two decades.
               

                What We're Losing:
               

                Time – Under the current proposal, compensation will only be granted after delays of at least 4 hours up from at least 2 hours.
               

                Money – Compensations are being slashed by €100 for medium and long-haul flights, despite the rising delays and travel costs.
               

                Rights – Protections under current law are being reduced. Rolling back existing rights sets a dangerous precedent.
               

                The Reality:
               

                Most flight delays are under 4 hours, meaning that passengers will now lose their right to compensation. Those who qualify will receive less money. Airlines lobbied hard for these changes, but travellers will pay the price through worse service and less recourse.
               

                We call on the European Union to:
               
"
